City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
lira,2.235,32.9097,75.09,54,72,3.04
la rioja,42.25,-2.5,67.78,44,23,14.0
darnah,32.767,22.6367,70.41,73,2,16.33
los llanos de aridane,28.6585,-17.9182,71.13,77,40,7.0
banjar,-8.19,114.9675,77.67,90,94,3.38
omboue,-1.5746,9.2618,77.77,88,100,7.49
skibbereen,51.55,-9.2667,55.35,90,34,4.72
avera,33.194,-82.5271,72.3,45,7,6.02
divnomorskoye,44.5011,38.1353,60.66,68,100,18.52
faya,18.3851,42.4509,63.12,43,1,3.13
moose factory,51.2585,-80.6094,55.38,67,0,10.36
nhulunbuy,-12.2333,136.7667,82.65,78,22,13.13
xining,36.6167,101.7667,48.43,63,100,0.6
knokke-heist,51.3333,3.3333,64.31,81,100,3.0
venice,27.0998,-82.4543,82.63,61,1,7.0
marin,38.0666,-122.7344,57.22,55,0,13.8
elizabethton,36.3487,-82.2107,68.36,39,0,2.21
huilong,31.8111,121.655,62.92,62,2,11.3
kirakira,-10.4544,161.9205,77.14,89,100,1.16
abaza,52.655,90.0928,34.63,76,91,10.74
launceston,-41.45,147.1667,48.87,80,96,23.02
olinda,-8.0089,-34.8553,81.75,67,81,10.11
yenagoa,4.9247,6.2642,77.61,89,100,5.77
djambala,-2.5447,14.7533,71.4,85,99,4.23
ati,13.2154,18.3353,95.16,19,8,5.91
kosai,34.7105,137.5316,59.86,70,0,10.18
puri,19.8,85.85,79.32,88,100,16.73
pitimbu,-7.4706,-34.8086,81.75,69,75,10.51
labuhan,-6.8844,112.2051,79.47,84,100,8.9
san jose,37.3394,-121.895,57.18,60,0,10.36
maniitsoq,65.4167,-52.9,35.55,98,100,11.41
kholm,59.2667,32.85,42.57,87,100,7.56
palmer,42.1584,-72.3287,56.32,68,100,5.75
bubaque,11.2833,-15.8333,83.41,67,29,2.57
svetlyy,54.675,20.1347,53.65,96,100,9.15
tabory,58.5198,64.5495,31.87,66,69,12.73
phalombe,-15.8064,35.6507,82.35,30,82,4.63
rio claro,-22.4114,-47.5614,86.32,32,0,3.8
tamale,9.4008,-0.8393,88.99,46,29,6.06
nanakuli,21.3906,-158.1547,74.61,78,20,5.75
barranca,-10.75,-77.7667,65.84,70,94,11.59
sechura,-5.5569,-80.8222,74.75,56,87,12.21
podgornoye,51.735,39.1496,46.62,93,75,8.95
arman,59.7,150.1667,16.59,65,95,10.33
gillette,44.2911,-105.5022,32.79,94,100,5.01
valday,57.9747,33.2525,39.72,93,45,6.31
misratah,32.3754,15.0925,73.98,59,0,12.08
menongue,-14.6585,17.691,75.51,47,88,3.51
hamilton,39.1834,-84.5333,74.59,48,0,13.8
carutapera,-1.195,-46.02,87.58,57,73,12.26
mosetse,-20.75,26.65,87.64,23,49,17.76
erandique,14.2333,-88.4667,71.31,61,23,0.49
ixtapa,20.7,-105.2,79.83,83,100,6.91
mackay,-21.15,149.2,73.69,89,56,9.28
palauig,15.435,119.9045,80.28,82,77,2.55
mogadishu,2.0371,45.3438,78.31,81,46,12.35
thunder bay,48.4001,-89.3168,57.11,72,0,11.5
bowmore,34.9421,-79.3031,69.78,43,0,10.36
antofagasta,-23.65,-70.4,61.88,62,5,9.28
zhangjiakou,40.81,114.8794,44.58,30,0,2.73
anadyr,64.75,177.4833,21.7,86,100,11.18
togur,58.3631,82.8265,31.64,86,98,11.95
ipanguacu,-5.4983,-36.855,88.07,52,90,13.56
yar-sale,66.8333,70.8333,29.64,74,98,8.9
springbok,-29.6643,17.8865,68.2,50,70,6.85
san mateo,37.4499,-122.3511,52.93,57,0,13.8
dubai,25.2582,55.3047,86.16,55,0,4.61
urucara,-2.5364,-57.76,95.27,39,83,3.06
karaton,-6.3424,106.1045,73.65,94,98,4.54
sovetskiy,61.3614,63.5842,32.65,68,100,14.88
biograd na moru,43.9433,15.4519,65.1,87,77,9.08
shimanovsk,52.0,127.7,27.43,66,10,4.68
losal,27.4,74.9167,73.96,24,0,7.47
meulaboh,4.1363,96.1285,79.0,84,99,4.74
burnie,-41.0667,145.9167,48.94,68,97,19.06
morozovsk,48.3539,41.8261,49.24,54,100,8.55
palghar,19.6833,72.75,76.48,51,2,6.44
galle,6.0367,80.217,77.92,86,100,9.24
kamina,-8.7386,24.9906,73.0,62,72,6.55
mnogovershinnyy,53.9353,139.9242,21.34,92,52,3.13
